"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C9335","Malignant Breast Neoplasm","Has Synonym","C50","Malignant neoplasm of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.411","Malignant neoplasm of upper-outer quadrant of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.412","Malignant neoplasm of upper-outer quadrant of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.312","Malignant neoplasm of lower-inner quadrant of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.519","Malignant neoplasm of lower-outer quadrant of unspecified female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.4","Malignant neoplasm: Upper-outer quadrant of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.512","Malignant neoplasm of lower-outer quadrant of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.419","Malignant neoplasm of upper-outer quadrant of unspecified female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.1","Malignant neoplasm: Central portion of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.8","Malignant neoplasm: Overlapping lesion of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.3","Malignant neoplasm: Lower-inner quadrant of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.212","Malignant neoplasm of upper-inner quadrant of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.211","Malignant neoplasm of upper-inner quadrant of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.91","Malignant neoplasm of breast of unspecified site, female","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.111","Malignant neoplasm of central portion of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.819","Malignant neoplasm of overlapping sites of unspecified female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.911","Malignant neoplasm of unspecified site of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.2","Malignant neoplasm: Upper-inner quadrant of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.219","Malignant neoplasm of upper-inner quadrant of unspecified female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.919","Malignant neoplasm of unspecified site of unspecified female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.812","Malignant neoplasm of overlapping sites of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.311","Malignant neoplasm of lower-inner quadrant of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.511","Malignant neoplasm of lower-outer quadrant of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.9","Malignant neoplasm: Breast, unspecified","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.5","Malignant neoplasm: Lower-outer quadrant of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.929","Malignant neoplasm of unspecified site of unspecified male breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.811","Malignant neoplasm of overlapping sites of right female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Related To","C50.912","Malignant neoplasm of unspecified site of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.112","Malignant neoplasm of central portion of left female breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.6","Malignant neoplasm: Axillary tail of breast","PT","ICD10CM 2017","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","C50.319","Malignant neoplasm of lower-inner quadrant of unspecified female breast","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.85","Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85","Other and unspecified types of non-Hodgkin lymphoma","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.81","Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.91","Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.88","Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.80","Other specified types of non-Hodgkin lymphoma, unspecified site","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.89","Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.83","Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.9","Non-Hodgkin lymphoma, unspecified","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.82","Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.90","Non-Hodgkin lymphoma, unspecified, unspecified site","PT","ICD10CM 2017","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","C85.8","Other specified types of non-Hodgkin lymphoma","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Related To","C41.9","Malignant neoplasm: Bone and articular cartilage, unspecified","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.21","Malignant neoplasm of long bones of right lower limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Related To","C40","Malignant neoplasm of bone and articular cartilage of limbs","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C41.4","Malignant neoplasm: Pelvic bones, sacrum and coccyx","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.2","Malignant neoplasm: Long bones of lower limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C41.0","Malignant neoplasm: Bones of skull and face","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.22","Malignant neoplasm of long bones of left lower limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.3","Malignant neoplasm: Short bones of lower limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.10","Malignant neoplasm of short bones of unspecified upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.1","Malignant neoplasm: Short bones of upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.20","Malignant neoplasm of long bones of unspecified lower limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.02","Malignant neoplasm of scapula and long bones of left upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.00","Malignant neoplasm of scapula and long bones of unspecified upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Related To","C40.91","Malignant neoplasm of unspecified bones and articular cartilage of right limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Related To","C40.90","Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C41.2","Malignant neoplasm: Vertebral column","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.01","Malignant neoplasm of scapula and long bones of right upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","C40.0","Malignant neoplasm: Scapula and long bones of upper limb","PT","ICD10CM 2017","N/A"
"C4016","Malignant Bone Neoplasm","Related To","C41","Malignant neoplasm of bone and articular cartilage of other and unspecified sites","PT","ICD10CM 2017","N/A"
