Source Code	Source Name	Source Coding Scheme	Source Coding Scheme Version	Source Coding Scheme Namespace	Association Name	REL	Map Rank	Target Code	Target Name	Target Coding Scheme	Target Coding Scheme Version	Target Coding Scheme Namespace
A00	Cholera	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10008631	Cholera	MedDRA	23.1	MedDRA
A00.0	"Cholera due to Vibrio cholerae 01, biovar cholerae"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10080446	Cholera due to Vibrio cholerae O1	MedDRA	23.1	MedDRA
A00.1	"Cholera due to Vibrio cholerae 01, biovar eltor"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10008633	Cholera due to Vibrio cholerae el tor	MedDRA	23.1	MedDRA
A00.9	"Cholera, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10008634	"Cholera, unspecified"	MedDRA	23.1	MedDRA
A01	Typhoid and paratyphoid fevers	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10045275	Typhoid fever	MedDRA	23.1	MedDRA
A01.0	Typhoid fever	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10045275	Typhoid fever	MedDRA	23.1	MedDRA
A01.1	Paratyphoid fever A	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10033972	Paratyphoid fever A	MedDRA	23.1	MedDRA
A01.2	Paratyphoid fever B	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10033973	Paratyphoid fever B	MedDRA	23.1	MedDRA
A01.3	Paratyphoid fever C	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10033974	Paratyphoid fever C	MedDRA	23.1	MedDRA
A01.4	"Paratyphoid fever, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10033975	"Paratyphoid fever, unspecified"	MedDRA	23.1	MedDRA
A02	Other salmonella infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10039447	Salmonellosis	MedDRA	23.1	MedDRA
A02.0	Salmonella enteritis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10039433	Salmonella enteritis	MedDRA	23.1	MedDRA
A02.1	Salmonella sepsis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10058878	Salmonella sepsis	MedDRA	23.1	MedDRA
A02.2	Localized salmonella infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10024782	"Localized salmonella infection, unspecified"	MedDRA	23.1	MedDRA
A02.8	Other specified salmonella infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10039447	Salmonellosis	MedDRA	23.1	MedDRA
A02.9	"Salmonella infection, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10039437	"Salmonella infection, unspecified"	MedDRA	23.1	MedDRA
A03	Shigellosis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040553	Shigellosis	MedDRA	23.1	MedDRA
A03.0	Shigellosis due to Shigella dysenteriae	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040546	Shigella dysenteriae gastroenteritis	MedDRA	23.1	MedDRA
A03.1	Shigellosis due to Shigella flexneri	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040548	Shigella flexneri gastroenteritis	MedDRA	23.1	MedDRA
A03.2	Shigellosis due to Shigella boydii	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10039342	S.boydii gastroenteritis	MedDRA	23.1	MedDRA
A03.3	Shigellosis due to Shigella sonnei	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040552	Shigella sonnei gastroenteritis	MedDRA	23.1	MedDRA
A03.8	Other shigellosis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040553	Shigellosis	MedDRA	23.1	MedDRA
A03.9	"Shigellosis, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040554	"Shigellosis, unspecified"	MedDRA	23.1	MedDRA
A04	Other bacterial intestinal infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10068306	Gastrointestinal bacterial infection	MedDRA	23.1	MedDRA
A04.0	Enteropathogenic Escherichia coli infection	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10014906	Enteropathic Escherichia coli gastroenteritis	MedDRA	23.1	MedDRA
A04.1	Enterotoxigenic Escherichia coli infection	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10083587	Shiga toxin-producing Escherichia coli infection	MedDRA	23.1	MedDRA
A04.2	Enteroinvasive Escherichia coli infection	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10022663	Intestinal infection due to enteroinvasive E. coli	MedDRA	23.1	MedDRA
A04.3	Enterohaemorrhagic Escherichia coli infection	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10055861	Intestinal infection due to enterohaemorrhagic E. coli	MedDRA	23.1	MedDRA
A04.4	Other intestinal Escherichia coli infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10017903	Gastroenteritis Escherichia coli	MedDRA	23.1	MedDRA
A04.5	Campylobacter enteritis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10053137	Campylobacter intestinal infection	MedDRA	23.1	MedDRA
A04.6	Enteritis due to Yersinia enterocolitica	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10022677	Intestinal infection due to yersinia enterocolitica	MedDRA	23.1	MedDRA
A04.7	Enterocolitis due to Clostridium difficile	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10087449	Clostridioides enterocolitis	MedDRA	23.1	MedDRA
A04.8	Other specified bacterial intestinal infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10068306	Gastrointestinal bacterial infection	MedDRA	23.1	MedDRA
A04.9	"Bacterial intestinal infection, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10068306	Gastrointestinal bacterial infection	MedDRA	23.1	MedDRA
A05	"Other bacterial foodborne intoxications, not elsewhere classified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10004022	Bacterial food poisoning	MedDRA	23.1	MedDRA
A05.0	Foodborne staphylococcal intoxication	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10041921	Staphylococcal food poisoning	MedDRA	23.1	MedDRA
A05.1	Botulism	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10006041	Botulism	MedDRA	23.1	MedDRA
A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10016953	Food poisoning due to Clostridium perfringens (C. welchii)	MedDRA	23.1	MedDRA
A05.3	Foodborne Vibrio parahaemolyticus intoxication	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10016955	Food poisoning due to Vibrio parahaemolyticus	MedDRA	23.1	MedDRA
A05.4	Foodborne Bacillus cereus intoxication	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10003976	Bacillus cereus gastroenteritis	MedDRA	23.1	MedDRA
A05.8	Other specified bacterial foodborne intoxications	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10004022	Bacterial food poisoning	MedDRA	23.1	MedDRA
A05.9	"Bacterial foodborne intoxication, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10004022	Bacterial food poisoning	MedDRA	23.1	MedDRA
A06	Amoebiasis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001980	Amoebiasis	MedDRA	23.1	MedDRA
A06.0	Acute amoebic dysentery	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10001986	Amoebic dysentery	MedDRA	23.1	MedDRA
A06.1	Chronic intestinal amoebiasis	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10062811	Intestinal amoebiasis	MedDRA	23.1	MedDRA
A06.2	Amoebic nondysenteric colitis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10057699	Amoebic non-dysenteric colitis	MedDRA	23.1	MedDRA
A06.3	Amoeboma of intestine	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10086745	Amoeboma	MedDRA	23.1	MedDRA
A06.4	Amoebic liver abscess	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001989	Amoebic liver abscess	MedDRA	23.1	MedDRA
A06.5	Amoebic lung abscess	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001990	Amoebic lung abscess	MedDRA	23.1	MedDRA
A06.6	Amoebic brain abscess	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001984	Amoebic brain abscess	MedDRA	23.1	MedDRA
A06.7	Cutaneous amoebiasis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001992	Amoebic skin ulcer	MedDRA	23.1	MedDRA
A06.8	Amoebic infection of other sites	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001980	Amoebiasis	MedDRA	23.1	MedDRA
A06.9	"Amoebiasis, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10001983	"Amoebiasis, unspecified"	MedDRA	23.1	MedDRA
A07	Other protozoal intestinal diseases	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10061175	Gastrointestinal protozoal infection	MedDRA	23.1	MedDRA
A07.0	Balantidiasis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10004080	Balantidiasis	MedDRA	23.1	MedDRA
A07.1	Giardiasis [lambliasis]	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10018261	Giardia lamblia infection	MedDRA	23.1	MedDRA
A07.2	Cryptosporidiosis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10011501	Cryptosporidiosis	MedDRA	23.1	MedDRA
A07.3	Isosporiasis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10023076	Isosporiasis	MedDRA	23.1	MedDRA
A07.8	Other specified protozoal intestinal diseases	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10061175	Gastrointestinal protozoal infection	MedDRA	23.1	MedDRA
A07.9	"Protozoal intestinal disease, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10046118	Unspecified protozoal intestinal disease	MedDRA	23.1	MedDRA
A08	Viral and other specified intestinal infections	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10069049	Gastrointestinal viral infection	MedDRA	23.1	MedDRA
A08.0	Rotaviral enteritis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10014874	Enteritis due to rotavirus	MedDRA	23.1	MedDRA
A08.1	Acute gastroenteropathy due to Norovirus	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10068189	Gastroenteritis norovirus	MedDRA	23.1	MedDRA
A08.2	Adenoviral enteritis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10014867	Enteritis due to adenovirus	MedDRA	23.1	MedDRA
A08.3	Other viral enteritis	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10017918	Gastroenteritis viral	MedDRA	23.1	MedDRA
A08.4	"Viral intestinal infection, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10069049	Gastrointestinal viral infection	MedDRA	23.1	MedDRA
A08.5	Other specified intestinal infections	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10017964	Gastrointestinal infection	MedDRA	23.1	MedDRA
A09	Other gastroenteritis and colitis of infectious and unspecified origin	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10017964	Gastrointestinal infection	MedDRA	23.1	MedDRA
A09.0	Other and unspecified gastroenteritis and colitis of infectious origin	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10017964	Gastrointestinal infection	MedDRA	23.1	MedDRA
A09.9	Gastroenteritis and colitis of unspecified origin	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10017964	Gastrointestinal infection	MedDRA	23.1	MedDRA
A15	"Respiratory tuberculosis, bacteriologically and histologically confirmed"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.0	"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.1	"Tuberculosis of lung, confirmed by culture only"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.2	"Tuberculosis of lung, confirmed histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.3	"Tuberculosis of lung, confirmed by unspecified means"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.4	"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044846	Tuberculosis of intrathoracic lymph nodes	MedDRA	23.1	MedDRA
A15.5	"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10032445	"Other respiratory tuberculosis, other"	MedDRA	23.1	MedDRA
A15.6	"Tuberculous pleurisy, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10045104	Tuberculous pleurisy	MedDRA	23.1	MedDRA
A15.7	"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.8	"Other respiratory tuberculosis, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A15.9	"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16.0	"Tuberculosis of lung, bacteriologically and histologically negative"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16.1	"Tuberculosis of lung, bacteriological and histological examination not done"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16.2	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16.3	"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044846	Tuberculosis of intrathoracic lymph nodes	MedDRA	23.1	MedDRA
A16.4	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10032445	"Other respiratory tuberculosis, other"	MedDRA	23.1	MedDRA
A16.5	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10045104	Tuberculous pleurisy	MedDRA	23.1	MedDRA
A16.7	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10037440	Pulmonary tuberculosis	MedDRA	23.1	MedDRA
A16.8	"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10032445	"Other respiratory tuberculosis, other"	MedDRA	23.1	MedDRA
A16.9	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10032445	"Other respiratory tuberculosis, other"	MedDRA	23.1	MedDRA
A17	Tuberculosis of nervous system	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10061391	Tuberculosis of central nervous system	MedDRA	23.1	MedDRA
A17.0	Tuberculous meningitis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10045080	Tuberculous meningitis	MedDRA	23.1	MedDRA
A17.1	Meningeal tuberculoma	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044739	Tuberculoma of meninges	MedDRA	23.1	MedDRA
A17.8	Other tuberculosis of nervous system	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10061391	Tuberculosis of central nervous system	MedDRA	23.1	MedDRA
A17.9	"Tuberculosis of nervous system, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10046190	Unspecified tuberculosis of central nervous system	MedDRA	23.1	MedDRA
A18	Tuberculosis of other organs	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10064445	Extrapulmonary tuberculosis	MedDRA	23.1	MedDRA
A18.0	Tuberculosis of bones and joints	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10056367	Joint tuberculosis	MedDRA	23.1	MedDRA
A18.1	Tuberculosis of genitourinary system	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044828	Tuberculosis of genitourinary system	MedDRA	23.1	MedDRA
A18.2	Tuberculous peripheral lymphadenopathy	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044965	Tuberculosis of peripheral lymph nodes	MedDRA	23.1	MedDRA
A18.3	"Tuberculosis of intestines, peritoneum and mesenteric glands"	ICD-10	2019	ICD-10	Loss of Information	Loss of Information	1	10061390	Tuberculosis gastrointestinal	MedDRA	23.1	MedDRA
A18.4	Tuberculosis of skin and subcutaneous tissue	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10040939	Skin tuberculosis	MedDRA	23.1	MedDRA
A18.5	Tuberculosis of eye	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044819	Tuberculosis of eye	MedDRA	23.1	MedDRA
A18.6	Tuberculosis of ear	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044795	Tuberculosis of ear	MedDRA	23.1	MedDRA
A18.7	Tuberculosis of adrenal glands	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10044768	Tuberculosis of adrenal glands	MedDRA	23.1	MedDRA
A18.8	Tuberculosis of other specified organs	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10064445	Extrapulmonary tuberculosis	MedDRA	23.1	MedDRA
A19	Miliary tuberculosis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10027630	Miliary tuberculosis	MedDRA	23.1	MedDRA
A19.0	Acute miliary tuberculosis of a single specified site	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10000862	Acute miliary tuberculosis	MedDRA	23.1	MedDRA
A19.1	Acute miliary tuberculosis of multiple sites	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10000862	Acute miliary tuberculosis	MedDRA	23.1	MedDRA
A19.2	"Acute miliary tuberculosis, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10000862	Acute miliary tuberculosis	MedDRA	23.1	MedDRA
A19.8	Other miliary tuberculosis	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10027630	Miliary tuberculosis	MedDRA	23.1	MedDRA
A19.9	"Miliary tuberculosis, unspecified"	ICD-10	2019	ICD-10	Equivalent	Equivalent	1	10027632	"Miliary tuberculosis, unspecified"	MedDRA	23.1	MedDRA
