Source Code	Source Name	Source Coding Scheme	Source Coding Scheme Version	Source Coding Scheme Namespace	Association Name	REL	Map Rank	Target Code	Target Name	Target Coding Scheme	Target Coding Scheme Version	Target Coding Scheme Namespace
MA:0000002	spinal cord grey matter	MA	Jul-16	MA	mapsTo	mapsTo	1	C32696	Gray Matter of the Spinal Cord	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000003	organ system	MA	Jul-16	MA	mapsTo	mapsTo	1	C12919	Organ System	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000004	trunk	MA	Jul-16	MA	mapsTo	mapsTo	1	C33816	Trunk	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000005	body cavity or lining	MA	Jul-16	MA	mapsTo	mapsTo	1	C25444	Body Cavity	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000006	head and neck	MA	Jul-16	MA	mapsTo	mapsTo	1	C12418	Head and Neck	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000007	limb	MA	Jul-16	MA	mapsTo	mapsTo	1	C30140	Extremities	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000009	adipose tissue	MA	Jul-16	MA	mapsTo	mapsTo	1	C12472	Adipose Tissue	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000010	cardiovascular system	MA	Jul-16	MA	mapsTo	mapsTo	1	C12686	Cardiovascular System	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000011	connective tissue	MA	Jul-16	MA	mapsTo	mapsTo	1	C12374	Connective Tissue	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000012	endocrine system	MA	Jul-16	MA	mapsTo	mapsTo	1	C12705	Endocrine System	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000013	hemolymphoid system	MA	Jul-16	MA	mapsTo	mapsTo	1	C41165	Hematopoietic and Lymphatic System	NCI_Thesaurus	23.02d	NCI_Thesaurus
MA:0000014	integumental system	MA	Jul-16	MA	mapsTo	mapsTo	1	C12907	Integumentary System	NCI_Thesaurus	23.02d	NCI_Thesaurus
