"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C9335","Malignant Breast Neoplasm","Related To","175.9","Malignant neoplasm of other and unspecified sites of male breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.5","Malignant neoplasm of lower-outer quadrant of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.6","Malignant neoplasm of axillary tail of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.4","Malignant neoplasm of upper-outer quadrant of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.2","Malignant neoplasm of upper-inner quadrant of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.3","Malignant neoplasm of lower-inner quadrant of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","175","Malignant neoplasm of male breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174","Malignant neoplasm of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Broader Than","174.1","Malignant neoplasm of central portion of female breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Related To","174.9","Malignant neoplasm of breast","PT","ICD9CM 2014","N/A"
"C9335","Malignant Breast Neoplasm","Related To","174.8","Malignant neoplasm of other specified sites of female breast","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.72","Large cell lymphoma involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.78","Large cell lymphoma involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.10","Lymphosarcoma, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.8","Other named variants of lymphosarcoma and reticulosarcoma","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.01","Reticulosarcoma involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
