"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C3211","Non-Hodgkin Lymphoma","Related To","9591/3","Malignant lymphoma, non-Hodgkin, NOS","PT","ICDO3","3.1"
"C3211","Non-Hodgkin Lymphoma","Related To","9591/3","Malignant lymphoma, non-Hodgkin, NOS","PT","ICDO3","3.2"
"C9305","Malignant Neoplasm","Related To","8000/3","Neoplasm, malignant","PT","ICDO3","3.2"
"C9305","Malignant Neoplasm","Related To","8000/3","Neoplasm, malignant","PT","ICDO3","3.1"
"C9357","Hodgkin Lymphoma","Related To","9650/3","Hodgkin lymphoma, NOS","PT","ICDO3","3.2"
"C9357","Hodgkin Lymphoma","Related To","9650/3","Hodgkin lymphoma, NOS","PT","ICDO3","3.1"
"C3161","Leukemia","Related To","9800/3","Leukemia, NOS","PT","ICDO3","3.1"
"C3161","Leukemia","Related To","9800/3","Leukemia, NOS","PT","ICDO3","3.2"
"C3167","Acute Lymphoblastic Leukemia","Related To","9835/3","Precursor cell lymphoblastic leukemia, NOS","PT","ICDO3","3.2"
"C3167","Acute Lymphoblastic Leukemia","Related To","9835/3","Precursor cell lymphoblastic leukemia, NOS","PT","ICDO3","3.1"
"C3172","Myeloid Leukemia","Related To","9860/3","Myeloid leukemia, NOS","PT","ICDO3","3.2"
"C3172","Myeloid Leukemia","Related To","9860/3","Myeloid leukemia, NOS","PT","ICDO3","3.1"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9654/3","Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis","PT","ICDO3","3.1"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9654/3","Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis","PT","ICDO3","3.2"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9655/3","Hodgkin lymphoma, lymphocyte depletion, reticular","PT","ICDO3","3.2"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9653/3","Hodgkin lymphoma, lymphocyte depletion, NOS","PT","ICDO3","3.1"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9655/3","Hodgkin lymphoma, lymphocyte depletion, reticular","PT","ICDO3","3.1"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","9653/3","Hodgkin lymphoma, lymphocyte depletion, NOS","PT","ICDO3","3.2"
"C3209","Follicular Lymphoma","Related To","9690/3","Follicular lymphoma, NOS","PT","ICDO3","3.1"
"C3209","Follicular Lymphoma","Related To","9690/3","Follicular lymphoma, NOS","PT","ICDO3","3.2"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","PT","ICDO3","3.2"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","PT","ICDO3","3.1"
"C7539","Lymphoid Leukemia","Related To","9820/3","Lymphoid leukemia, NOS","PT","ICDO3","3.2"
"C7539","Lymphoid Leukemia","Related To","9820/3","Lymphoid leukemia, NOS","PT","ICDO3","3.1"
"C2912","Burkitt Lymphoma","Related To","9687/3","Burkitt lymphoma, NOS","PT","ICDO3","3.2"
"C2912","Burkitt Lymphoma","Related To","9687/3","Burkitt lymphoma, NOS","PT","ICDO3","3.1"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","9659/3","Hodgkin lymphoma, nodular lymphocyte predominant","PT","ICDO3","3.2"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","9659/3","Hodgkin lymphoma, nodular lymphocyte predominance","PT","ICDO3","3.1"
"C3208","Lymphoma","Related To","9590/3","Malignant lymphoma, NOS","PT","ICDO3","3.2"
"C3208","Lymphoma","Related To","9590/3","Malignant lymphoma, NOS","PT","ICDO3","3.1"
"C3247","Myelodysplastic Syndrome","Related To","9989/3","Myelodysplastic syndrome, NOS","PT","ICDO3","3.2"
"C3247","Myelodysplastic Syndrome","Related To","9989/3","Myelodysplastic syndrome, NOS","PT","ICDO3","3.1"
"C4861","Acute Monocytic Leukemia","Related To","9891/3","Acute monocytic leukemia","PT","ICDO3","3.1"
"C4861","Acute Monocytic Leukemia","Related To","9891/3","Acute monocytic leukemia","PT","ICDO3","3.2"
"C3058","Glioblastoma","Related To","9440/3","Glioblastoma, NOS","PT","ICDO3","3.2"
"C3058","Glioblastoma","Related To","9440/3","Glioblastoma, NOS","PT","ICDO3","3.1"
"C3798","Malignant Peripheral Nerve Sheath Tumor","Related To","9560/3","Neurilemoma, malignant","PT","ICDO3","3.2"
"C3798","Malignant Peripheral Nerve Sheath Tumor","Related To","9540/3","Malignant peripheral nerve sheath tumor, NOS","PT","ICDO3","3.2"
"C3798","Malignant Peripheral Nerve Sheath Tumor","Related To","9540/3","Malignant peripheral nerve sheath tumor","PT","ICDO3","3.1"
"C3798","Malignant Peripheral Nerve Sheath Tumor","Related To","9560/3","Neurilemoma, malignant","PT","ICDO3","3.1"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Related To","9863/3","Chronic myeloid leukemia, NOS","PT","ICDO3","3.2"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Related To","9863/3","Chronic myeloid leukemia, NOS","PT","ICDO3","3.1"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Related To","9875/3","Chronic myelogenous leukemia, BCR/ABL positive","PT","ICDO3","3.1"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Related To","9875/3","Chronic myelogenous leukemia, BCR/ABL positive","PT","ICDO3","3.2"
"C26712","Mucinous Adenocarcinoma","Related To","8480/3","Mucinous adenocarcinoma","PT","ICDO3","3.1"
"C26712","Mucinous Adenocarcinoma","Related To","8480/3","Mucinous adenocarcinoma","PT","ICDO3","3.2"
"C2923","Minimally Invasive Lung Adenocarcinoma","Related To","8251/3","Alveolar adenocarcinoma","PT","ICDO3","3.2"
"C2923","Minimally Invasive Lung Adenocarcinoma","Related To","8251/3","Alveolar adenocarcinoma","PT","ICDO3","3.1"
"C2923","Minimally Invasive Lung Adenocarcinoma","Related To","8250/3","Bronchiolo-alveolar adenocarcinoma, NOS","PT","ICDO3","3.1"
"C3242","Plasma Cell Myeloma","Related To","9732/3","Plasma cell myeloma","PT","ICDO3","3.2"
"C3242","Plasma Cell Myeloma","Related To","9732/3","Multiple myeloma","PT","ICDO3","3.1"
"C9360","Lymphoblastic Lymphoma","Related To","9727/3","Precursor cell lymphoblastic lymphoma, NOS","PT","ICDO3","3.1"
"C9360","Lymphoblastic Lymphoma","Related To","9727/3","Precursor cell lymphoblastic lymphoma, NOS","PT","ICDO3","3.2"
"C2924","Breast Ductal Carcinoma In Situ","Related To","8500/2","Intraductal carcinoma, noninfiltrating, NOS","PT","ICDO3","3.2"
"C2924","Breast Ductal Carcinoma In Situ","Related To","8500/2","Intraductal carcinoma, noninfiltrating, NOS","PT","ICDO3","3.1"
"C8054","Thyroid Gland Follicular Carcinoma","Related To","8331/3","Follicular adenocarcinoma, well differentiated","PT","ICDO3","3.2"
"C8054","Thyroid Gland Follicular Carcinoma","Related To","8330/3","Follicular adenocarcinoma, NOS","PT","ICDO3","3.1"
"C8054","Thyroid Gland Follicular Carcinoma","Related To","8331/3","Follicular adenocarcinoma, well differentiated","PT","ICDO3","3.1"
"C8054","Thyroid Gland Follicular Carcinoma","Related To","8330/3","Follicular carcinoma, NOS","PT","ICDO3","3.2"
