"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C3211","Non-Hodgkin Lymphoma","Has Synonym","10029547","Non-Hodgkin's lymphoma","LLT","MedDRA","18.1"
"C4016","Malignant Bone Neoplasm","Has Synonym","10005949","Bone cancer","LLT","MedDRA","18.1"
"C9305","Malignant Neoplasm","Has Synonym","10007050","Cancer","LLT","MedDRA","18.1"
"C9357","Hodgkin Lymphoma","Has Synonym","10020328","Hodgkin's lymphoma","LLT","MedDRA","18.1"
"C3161","Leukemia","Has Synonym","10024329","Leukemia","LLT","MedDRA","18.1"
"C3167","Acute Lymphoblastic Leukemia","Has Synonym","10000845","Acute lymphoblastic leukemia","LLT","MedDRA","18.1"
"C3208","Lymphoma","Has Synonym","10025310","Lymphoma","LLT","MedDRA","18.1"
"C3247","Myelodysplastic Syndrome","Has Synonym","10028533","Myelodysplastic syndrome","LLT","MedDRA","18.1"
"C3171","Acute Myeloid Leukemia","Has Synonym","10000886","Acute myeloid leukemia","LLT","MedDRA","18.1"
"C3568","Malignant Brain Neoplasm","Has Synonym","10025783","Malignant neoplasm of brain","LLT","MedDRA","18.1"
"C3270","Neuroblastoma","Has Synonym","10029260","Neuroblastoma","LLT","MedDRA","18.1"
"C9145","Osteosarcoma","Has Synonym","10031291","Osteosarcoma","LLT","MedDRA","18.1"
"C4817","Ewing Sarcoma","Has Synonym","10015560","Ewing's sarcoma","LLT","MedDRA","18.1"
"C3359","Rhabdomyosarcoma","Has Synonym","10039022","Rhabdomyosarcoma","LLT","MedDRA","18.1"
"C3728","Hepatoblastoma","Has Synonym","10062001","Hepatoblastoma","LLT","MedDRA","18.1"
"C3224","Melanoma","Has Synonym","10053571","Melanoma","LLT","MedDRA","18.1"
"C3017","Ependymoma","Has Synonym","10014967","Ependymoma","LLT","MedDRA","18.1"
"C3085","Hemangioma","Has Synonym","10019386","Hemangioma","LLT","MedDRA","18.1"
"C3267","Wilms Tumor","Has Synonym","10047985","Wilms tumor","LLT","MedDRA","18.1"
"C2962","Seizure","Has Synonym","10039906","Seizure","LLT","MedDRA","18.1"
"C28554","Dead","Has Synonym","10011906","Death","LLT","MedDRA","18.1"
"C3230","Meningioma","Has Synonym","10027191","Meningioma","LLT","MedDRA","18.1"
"C7541","Retinoblastoma","Has Synonym","10038916","Retinoblastoma","LLT","MedDRA","18.1"
"C4727","Post-Transplant Lymphoproliferative Disorder","Has Synonym","10051358","Post transplant lymphoproliferative disorder","LLT","MedDRA","18.1"
"C34661","Headache","Has Synonym","10019211","Headache","LLT","MedDRA","18.1"
"C60781","Astrocytoma","Has Synonym","10003571","Astrocytoma","LLT","MedDRA","18.1"
"C3331","Pleural Effusion","Has Synonym","10035598","Pleural effusion","LLT","MedDRA","18.1"
"C26781","Gastroesophageal Reflux Disease","Has Synonym","10066874","Gastroesophageal reflux disease","LLT","MedDRA","18.1"
"C2951","Cirrhosis","Has Synonym","10009213","Cirrhosis of liver","LLT","MedDRA","18.1"
"C2907","Brain Neoplasm","Has Synonym","10006153","Brain tumor","LLT","MedDRA","18.1"
"C95598","Pancreatic Insulinoma","Has Synonym","10022498","Insulinoma","LLT","MedDRA","18.1"
"C9306","Soft Tissue Sarcoma","Has Synonym","10075333","Soft tissue sarcoma","LLT","MedDRA","18.1"
"C34808","Mass","Has Synonym","10026865","Mass","LLT","MedDRA","18.1"
"C26726","Infectious Disorder","Has Synonym","10021789","Infection","LLT","MedDRA","18.1"
"C26747","Type 2 Diabetes Mellitus","Has Synonym","10045242","Type II diabetes mellitus","LLT","MedDRA","18.1"
"C2885","Ascites","Has Synonym","10003445","Ascites","LLT","MedDRA","18.1"
"C3303","Pain","Has Synonym","10033371","Pain","LLT","MedDRA","18.1"
"C4815","Thyroid Gland Carcinoma","Has Synonym","10066474","Thyroid cancer","LLT","MedDRA","18.1"
"C3117","Hypertension","Has Synonym","10020772","Hypertension","LLT","MedDRA","18.1"
"C27191","Hashimoto Thyroiditis","Has Synonym","10019166","Hashimoto's disease","LLT","MedDRA","18.1"
"C4872","Breast Carcinoma","Has Synonym","10006187","Breast cancer","LLT","MedDRA","18.1"
"C3390","Stroke","Has Synonym","10008190","Cerebrovascular accident","LLT","MedDRA","18.1"
"C3306","Pancreatitis","Has Synonym","10033645","Pancreatitis","LLT","MedDRA","18.1"
"C2870","Aplastic Anemia","Has Synonym","10002969","Aplastic anemia","LLT","MedDRA","18.1"
"C2998","Dyspnea","Has Synonym","10013963","Dyspnea","LLT","MedDRA","18.1"
"C26780","Gastritis","Has Synonym","10017853","Gastritis","LLT","MedDRA","18.1"
"C2965","Crohn Disease","Has Synonym","10011401","Crohn's disease","LLT","MedDRA","18.1"
"C3038","Fever","Has Synonym","10016558","Fever","LLT","MedDRA","18.1"
"C49343","Deep Vein Thrombosis","Has Synonym","10051055","Deep vein thrombosis","LLT","MedDRA","18.1"
"C3001","Eczema","Has Synonym","10014184","Eczema","LLT","MedDRA","18.1"
"C3095","Hepatitis","Has Synonym","10019717","Hepatitis","LLT","MedDRA","18.1"
"C2986","Type 1 Diabetes Mellitus","Has Synonym","10045228","Type I diabetes mellitus","LLT","MedDRA","18.1"
"C3423","Tuberculosis","Has Synonym","10044755","Tuberculosis","LLT","MedDRA","18.1"
"C50764","Lymphadenopathy","Has Synonym","10025197","Lymphadenopathy","LLT","MedDRA","18.1"
"C26869","Pulmonary Fibrosis","Has Synonym","10037383","Pulmonary fibrosis","LLT","MedDRA","18.1"
"C2869","Anemia","Has Synonym","10002272","Anemia","LLT","MedDRA","18.1"
"C39594","Skin Rash","Narrower Than","10037844","Rash","LLT","MedDRA","18.1"
"C78393","Iron Overload","Has Synonym","10065973","Iron overload","LLT","MedDRA","18.1"
