"Source Code","Source Name","Source Coding Scheme","Source Coding Scheme Version","Source Coding Scheme Namespace","Association Name","REL","Map Rank","Target Code","Target Name","Target Coding Scheme","Target Coding Scheme Version","Target Coding Scheme Namespace"
"C1072","1,1-Dimethylhydrazine","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:18853","1,1-dimethylhydrazine","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C63644","1,2-Dithiole-3-Thione","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:50866","3H-1,2-dithiole-3-thione","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C29790","1,3-Butadiene","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:39478","buta-1,3-diene","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C44296","1,3-Dichloropropene","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:18918","1,3-dichloropropene","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C44298","1,4-Dioxane","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:47032","1,4-dioxane","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C118886","1-Methylhistidine","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:70958","1-methylhistidine","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C87340","1-Octacosanol","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:28243","octacosan-1-ol","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C87790","1-Triacontanol","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:28409","triacontan-1-ol","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C959","12-Hydroxy-5,8,10,14-eicosatetraenoic Acid","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:19138","12-HETE","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
"C105827","12-Methyltetradecanoic Acid","NCI_Thesaurus","23.08d","NCI_Thesaurus","mapsTo","mapsTo","1","CHEBI:39251","12-methyltetradecanoic acid","ChEBI:_Chemical_Entities_of_Biological_Interest","224","ChEBI"
