C1003	CHEBI:22565
C1005	CHEBI:30621
C1009	CHEBI:30969
C1011	CHEBI:3000
C1012	CHEBI:22720
C1014	CHEBI:32293
C101537	CHEBI:9230
C1016	CHEBI:17579
C101788	CHEBI:16412
C101790	CHEBI:62268
C1020	CHEBI:261649
C1027	CHEBI:3207
C1028	CHEBI:3237
C1039	CHEBI:202940
C104002	CHEBI:17625
C1041	CHEBI:31368
C1042	CHEBI:3561
C104267	CHEBI:63453
C1051	CHEBI:31401
C1054	CHEBI:3732
C1057	CHEBI:29014
C105826	CHEBI:44605
C105827	CHEBI:39251
C1059	CHEBI:50743
C1060	CHEBI:28197
C106406	CHEBI:15746
C1069	CHEBI:35861
C1071	CHEBI:60773
C107138	CHEBI:28750
C107144	CHEBI:165884
C1072	CHEBI:18853
C107439	CHEBI:15372
C107440	CHEBI:47828
C107560	CHEBI:28728
C1076	CHEBI:34838
C1077	CHEBI:31523
C1088	CHEBI:4806
C1091	CHEBI:17474
C1097	CHEBI:4953
C1098	CHEBI:42588
C1099	CHEBI:5062
C1100	CHEBI:472657
C1102	CHEBI:63599
C1105	CHEBI:4532
C1107	CHEBI:38221
C1112	CHEBI:5292
C1113	CHEBI:28088
C1115	CHEBI:16015
C1116	CHEBI:24410
C1117	CHEBI:15939
C112040	CHEBI:38697
C112043	CHEBI:15551
C112046	CHEBI:24128
C112047	CHEBI:24279
C1121	CHEBI:48028
C1128	CHEBI:6402
C1130	CHEBI:29191
C113236	CHEBI:16675
C113498	CHEBI:18406
C1135	CHEBI:24814
C113501	CHEBI:15611
C1137	CHEBI:63578
C1138	CHEBI:6076
C1145	CHEBI:25036
C1146	CHEBI:50138
C1155	CHEBI:6716
C1156	CHEBI:6723
C1160	CHEBI:6770
C116012	CHEBI:15361
C116013	CHEBI:15555
C1163	CHEBI:7438
C1173	CHEBI:7573
C1176	CHEBI:7770
C1178	CHEBI:28229
C1181	CHEBI:31941
C118875	CHEBI:17755
C118876	CHEBI:27389
C118877	CHEBI:18323
C118880	CHEBI:15727
C118881	CHEBI:37024
C118882	CHEBI:17553
C118883	CHEBI:37712
C118884	CHEBI:43433
C118885	CHEBI:70959
C118886	CHEBI:70958
C1191	CHEBI:15882
C1192	CHEBI:18348
C1193	CHEBI:141644
C1195	CHEBI:28814
C120002	CHEBI:64552
C120003	CHEBI:37054
C120004	CHEBI:29747
C120005	CHEBI:35692
C120006	CHEBI:16450
C120007	CHEBI:28832
C120008	CHEBI:83037
C120009	CHEBI:68834
C120013	CHEBI:53014
C1201	CHEBI:26206
C120467	CHEBI:16301
C120468	CHEBI:776
C120472	CHEBI:1189
C120473	CHEBI:62845
C120474	CHEBI:28744
C1209	CHEBI:39106
C1210	CHEBI:3720
C1212	CHEBI:9168
C1213	CHEBI:135511
C1215	CHEBI:45713
C1215	CHEBI:27881
C1216	CHEBI:32095
C1217	CHEBI:17616
C121971	CHEBI:28031
C1222	CHEBI:50381
C1223	CHEBI:16633
C122987	CHEBI:10642
C122988	CHEBI:15627
C122989	CHEBI:51231
C1230	CHEBI:32150
C1237	CHEBI:15738
C1239	CHEBI:64212
C1240	CHEBI:10650
C124071	CHEBI:37628
C124072	CHEBI:61051
C124073	CHEBI:28986
C124264	CHEBI:17929
C1246	CHEBI:9463
C1247	CHEBI:9464
C125228	CHEBI:52455
C1256	CHEBI:9635
C1259	CHEBI:35019
C1261	CHEBI:46024
C126100	CHEBI:17488
C1263	CHEBI:32260
C1267	CHEBI:63633
C126896	CHEBI:17677
C126901	CHEBI:8191
C126903	CHEBI:35165
C126907	CHEBI:37550
C126908	CHEBI:64007
C126911	CHEBI:86269
C127127	CHEBI:82569
C1273	CHEBI:16380
C1275	CHEBI:480999
C1277	CHEBI:52289
C1278	CHEBI:9943
C1280	CHEBI:35176
C1282	CHEBI:31355
C129007	CHEBI:15467
C129008	CHEBI:27551
C129009	CHEBI:15650
C129011	CHEBI:17148
C129012	CHEBI:16610
C129555	CHEBI:16946
C1297	CHEBI:40304
C1301	CHEBI:53273
C1310	CHEBI:38912
C1311	CHEBI:61057
C1313	CHEBI:63610
C1315	CHEBI:2504
C1318	CHEBI:6504
C1319	CHEBI:63597
C1322	CHEBI:35856
C1323	CHEBI:35544
C13239	CHEBI:59174
C1327	CHEBI:50427
C1332	CHEBI:4907
C1333	CHEBI:50223
C1334	CHEBI:27306
C1336	CHEBI:567361
C1361	CHEBI:64143
C1362	CHEBI:4462
C1375	CHEBI:30087
C1379	CHEBI:31638
C1395	CHEBI:32296
C1402	CHEBI:8379
C1404	CHEBI:37699
C1408	CHEBI:45367
C1409	CHEBI:31358
C1411	CHEBI:45863
C1413	CHEBI:63632
C1418	CHEBI:59587
C1420	CHEBI:47868
C1421	CHEBI:61073
C1421	CHEBI:26523
C1422	CHEBI:38803
C1423	CHEBI:196991
C1424	CHEBI:47807
C1428	CHEBI:63581
C1431	CHEBI:36704
C1436	CHEBI:32898
C1443	CHEBI:36683
C1444	CHEBI:37445
C1446	CHEBI:35232
C1449	CHEBI:37339
C1450	CHEBI:33749
C1452	CHEBI:28304
C1461	CHEBI:10782
C1461	CHEBI:15420
C1462	CHEBI:556075
C1471	CHEBI:63577
C1490	CHEBI:36064
C1500	CHEBI:17334
C1501	CHEBI:8082
C1503	CHEBI:17256
C1505	CHEBI:50733
C1507	CHEBI:8365
C1509	CHEBI:63726
C1514	CHEBI:48705
C1518	CHEBI:8772
C152067	CHEBI:61121
C152068	CHEBI:28158
C152070	CHEBI:15553
C152071	CHEBI:33216
C152072	CHEBI:26092
C152073	CHEBI:43355
C1522	CHEBI:9753
C1526	CHEBI:59809
C1527	CHEBI:6413
C1533	CHEBI:63722
C1544	CHEBI:61080
C1550	CHEBI:24020
C1551	CHEBI:27314
C1559	CHEBI:63606
C1574	CHEBI:50648
C1589	CHEBI:59897
C1594	CHEBI:49322
C1595	CHEBI:26895
C1599	CHEBI:3090
C1600	CHEBI:59495
C1607	CHEBI:2704
C1609	CHEBI:45409
C1622	CHEBI:31549
C162311	CHEBI:17202
C1627	CHEBI:59045
C1627	CHEBI:62507
C16342	CHEBI:59163
C1635	CHEBI:50859
C163573	CHEBI:140423
C163574	CHEBI:140424
C163575	CHEBI:140425
C163577	CHEBI:34520
C163578	CHEBI:2555
C163585	CHEBI:2653
C163586	CHEBI:47217
C163587	CHEBI:38587
C163588	CHEBI:2953
C163589	CHEBI:34556
C163590	CHEBI:3014
C163632	CHEBI:33117
C163633	CHEBI:82104
C163634	CHEBI:38465
C163635	CHEBI:38588
C163636	CHEBI:34611
C163637	CHEBI:82107
C163638	CHEBI:38476
C163639	CHEBI:38590
C163640	CHEBI:39285
C163641	CHEBI:34631
C163642	CHEBI:34632
C163644	CHEBI:38621
C163645	CHEBI:82116
C163646	CHEBI:34682
C163647	CHEBI:38658
C163648	CHEBI:17941
C163649	CHEBI:34714
C163652	CHEBI:38661
C163654	CHEBI:38483
C163655	CHEBI:38663
C163656	CHEBI:38680
C163657	CHEBI:34304
C163658	CHEBI:5009
C163659	CHEBI:38689
C163660	CHEBI:38491
C163661	CHEBI:82126
C163664	CHEBI:27744
C163665	CHEBI:63484
C163666	CHEBI:16136
C163667	CHEBI:82135
C163668	CHEBI:6009
C163669	CHEBI:38505
C163671	CHEBI:38721
C163672	CHEBI:34837
C163673	CHEBI:38508
C163674	CHEBI:6835
C163675	CHEBI:39275
C163676	CHEBI:59059
C163677	CHEBI:38746
C163678	CHEBI:38537
C163679	CHEBI:38725
C163680	CHEBI:82092
C163681	CHEBI:38728
C163682	CHEBI:38730
C163683	CHEBI:88215
C163684	CHEBI:38539
C163685	CHEBI:27928
C163686	CHEBI:34917
C163687	CHEBI:38764
C163688	CHEBI:29365
C163690	CHEBI:38832
C163691	CHEBI:30278
C163693	CHEBI:8248
C163694	CHEBI:33191
C163695	CHEBI:82096
C163696	CHEBI:38845
C163697	CHEBI:8712
C163698	CHEBI:34970
C163699	CHEBI:33192
C1637	CHEBI:35634
C163700	CHEBI:38699
C163703	CHEBI:30288
C163704	CHEBI:38945
C163705	CHEBI:38949
C163706	CHEBI:9381
C163707	CHEBI:38960
C163708	CHEBI:35005
C163709	CHEBI:82149
C163711	CHEBI:38549
C163712	CHEBI:38963
C163713	CHEBI:38893
C163714	CHEBI:38571
C163715	CHEBI:35048
C1638	CHEBI:36927
C1642	CHEBI:33371
C1645	CHEBI:28887
C16484	CHEBI:38559
C16486	CHEBI:4056
C1652	CHEBI:50662
C1655	CHEBI:35664
C1658	CHEBI:10034
C1660	CHEBI:64946
C1662	CHEBI:5899
C16642	CHEBI:17089
C16675	CHEBI:35137
C16676	CHEBI:35143
C16687	CHEBI:15358
C1669	CHEBI:9437
C167083	CHEBI:545959
C167084	CHEBI:20106
C16844	CHEBI:35134
C1687	CHEBI:31690
C1697	CHEBI:24127
C1698	CHEBI:37972
C16998	CHEBI:52450
C16998	CHEBI:36707
C1702	CHEBI:64357
C17021	CHEBI:36080
C17022	CHEBI:37396
C17024	CHEBI:24636
C1704	CHEBI:63612
C1707	CHEBI:10023
C1720	CHEBI:466659
C1724	CHEBI:59900
C1725	CHEBI:63449
C1728	CHEBI:41423
C17300	CHEBI:24499
C17300	CHEBI:35721
C173416	CHEBI:68455
C173417	CHEBI:68552
C173418	CHEBI:16101
C173419	CHEBI:27036
C173423	CHEBI:68500
C173424	CHEBI:18280
C1735	CHEBI:50679
C1740	CHEBI:50790
C1741	CHEBI:17996
C1742	CHEBI:48422
C1745	CHEBI:63326
C1745	CHEBI:38672
C1745	CHEBI:47916
C1746	CHEBI:25905
C175292	CHEBI:138249
C175293	CHEBI:81565
C175294	CHEBI:81559
C175295	CHEBI:81564
C175296	CHEBI:6498
C1762	CHEBI:50740
C1794	CHEBI:31348
C180700	CHEBI:28666
C1814	CHEBI:33284
C1815	CHEBI:33860
C1818	CHEBI:9907
C1820	CHEBI:27504
C1825	CHEBI:90693
C1832	CHEBI:8887
C184300	CHEBI:81534
C1845	CHEBI:63615
C1850	CHEBI:600520
C1851	CHEBI:52717
C185348	CHEBI:25682
C1855	CHEBI:49668
C1869	CHEBI:63634
C1872	CHEBI:63452
C1881	CHEBI:50161
C1881	CHEBI:50162
C1904	CHEBI:50276
C1905	CHEBI:36615
C190690	CHEBI:165881
C1909	CHEBI:52217
C1915	CHEBI:33655
C1916	CHEBI:51143
C191976	CHEBI:28640
C192185	CHEBI:82563
C1922	CHEBI:60831
C192638	CHEBI:185936
C1929	CHEBI:62488
C194	CHEBI:16907
C1940	CHEBI:33259
C1946	CHEBI:61115
C1949	CHEBI:33290
C195	CHEBI:31822
C1965	CHEBI:28838
C1967	CHEBI:38637
C1968	CHEBI:50750
C197	CHEBI:254496
C1970	CHEBI:50664
C198	CHEBI:46195
C199	CHEBI:15351
C200	CHEBI:28939
C20029	CHEBI:6495
C200370	CHEBI:26689
C200714	CHEBI:36586
C201	CHEBI:59414
C2015	CHEBI:337298
C2020	CHEBI:64133
C2021	CHEBI:63720
C203	CHEBI:36420
C2040	CHEBI:50181
C205	CHEBI:2453
C206	CHEBI:16708
C207	CHEBI:16335
C208	CHEBI:17489
C2081	CHEBI:62868
C2087	CHEBI:53746
C2089	CHEBI:37700
C209	CHEBI:15422
C210	CHEBI:50847
C2105	CHEBI:608828
C2109	CHEBI:53559
C212	CHEBI:3892
C213	CHEBI:22271
C2140	CHEBI:60809
C215	CHEBI:2549
C2151	CHEBI:63090
C2152	CHEBI:50914
C2155	CHEBI:63932
C2157	CHEBI:50445
C2160	CHEBI:52726
C217	CHEBI:17790
C218	CHEBI:30879
C218	CHEBI:23982
C219	CHEBI:27584
C2190	CHEBI:16236
C2194	CHEBI:50928
C221	CHEBI:22315
C2226	CHEBI:15948
C223	CHEBI:22333
C2233	CHEBI:351346
C224	CHEBI:40279
C226	CHEBI:41948
C2265	CHEBI:28689
C2267	CHEBI:16796
C227	CHEBI:2611
C2282	CHEBI:3892
C2283	CHEBI:7872
C2289	CHEBI:26764
C229	CHEBI:33389
C2290	CHEBI:17650
C2291	CHEBI:16962
C2292	CHEBI:28918
C2293	CHEBI:50114
C2294	CHEBI:17263
C2295	CHEBI:16469
C2296	CHEBI:50745
C2297	CHEBI:17026
C2298	CHEBI:50113
C2299	CHEBI:17347
C230	CHEBI:2638
C2300	CHEBI:16422
C2301	CHEBI:9460
C2303	CHEBI:18258
C2303	CHEBI:11684
C231	CHEBI:33709
C2311	CHEBI:22907
C2315	CHEBI:24621
C2319	CHEBI:50781
C2321	CHEBI:18357
C2322	CHEBI:50858
C2323	CHEBI:24261
C2324	CHEBI:25354
C2327	CHEBI:17154
C2328	CHEBI:3498
C233	CHEBI:2654
C2337	CHEBI:64103
C234	CHEBI:17549
C235	CHEBI:22526
C2354	CHEBI:64564
C2360	CHEBI:50786
C2363	CHEBI:22507
C237	CHEBI:51254
C238	CHEBI:2682
C239	CHEBI:28971
C2391	CHEBI:33325
C2392	CHEBI:30050
C2392	CHEBI:52454
C2392	CHEBI:29287
C240	CHEBI:2687
C241	CHEBI:35480
C242	CHEBI:35497
C244	CHEBI:16422
C245	CHEBI:38867
C247	CHEBI:35457
C2479	CHEBI:10415
C2480	CHEBI:35209
C2480	CHEBI:35204
C2481	CHEBI:59224
C250	CHEBI:35443
C251	CHEBI:35298
C25186	CHEBI:39025
C25187	CHEBI:39026
C253	CHEBI:22580
C254	CHEBI:35441
C2563	CHEBI:36009
C257	CHEBI:35475
C2581	CHEBI:6484
C2583	CHEBI:8892
C2586	CHEBI:27616
C2588	CHEBI:31797
C2591	CHEBI:17169
C25949	CHEBI:36807
C25951	CHEBI:18300
C25995	CHEBI:37416
C260	CHEBI:27933
C2603	CHEBI:4696
C261	CHEBI:25105
C26170	CHEBI:50267
C2629	CHEBI:63635
C263	CHEBI:50249
C2634	CHEBI:28544
C264	CHEBI:35623
C26451	CHEBI:40448
C265	CHEBI:35469
C26563	CHEBI:23995
C266	CHEBI:55323
C26638	CHEBI:681569
C26638	CHEBI:47311
C26641	CHEBI:3224
C26653	CHEBI:49603
C26657	CHEBI:16347
C26666	CHEBI:38666
C26667	CHEBI:10112
C26670	CHEBI:58987
C2668	CHEBI:63791
C267	CHEBI:50919
C2673	CHEBI:3759
C2678	CHEBI:28793
C268	CHEBI:59132
C2692	CHEBI:63721
C2693	CHEBI:53509
C270	CHEBI:35674
C271	CHEBI:38068
C2713	CHEBI:38927
C272	CHEBI:35221
C273	CHEBI:64911
C2737	CHEBI:49960
C274	CHEBI:35610
C275	CHEBI:22586
C276	CHEBI:35442
