C101088	HGNC:18037
C101091	HGNC:20893
C101095	HGNC:24224
C101098	HGNC:23438
C101101	HGNC:23445
C101104	HGNC:13590
C101107	HGNC:4880
C101110	HGNC:10783
C101113	HGNC:12453
C101116	HGNC:12851
C101120	HGNC:23019
C101126	HGNC:10879
C101144	HGNC:11506
C101148	HGNC:3050
C101151	HGNC:11249
C101154	HGNC:1709
C101157	HGNC:4947
C101283	HGNC:8980
C101286	HGNC:9841
C101290	HGNC:29034
C101297	HGNC:24358
C101300	HGNC:1734
C101306	HGNC:22944
C101309	HGNC:9476
C101335	HGNC:10050
C101340	HGNC:728
C101343	HGNC:2384
C101346	HGNC:11355
C101349	HGNC:12509
C101352	HGNC:3128
C101355	HGNC:20610
C101359	HGNC:30207
C101363	HGNC:6284
C101375	HGNC:10827
C101378	HGNC:11784
C101381	HGNC:18006
C101385	HGNC:30594
C101389	HGNC:12022
C101392	HGNC:3471
C101395	HGNC:19231
C101398	HGNC:28337
C101401	HGNC:4601
C101404	HGNC:4454
C101407	HGNC:11843
C101410	HGNC:24814
C101413	HGNC:13203
C101416	HGNC:32207
C101419	HGNC:19102
C101422	HGNC:16953
C101425	HGNC:6324
C101428	HGNC:26157
C101431	HGNC:10661
C101434	HGNC:11020
C101437	HGNC:10825
C101440	HGNC:18806
C101443	HGNC:4764
C101446	HGNC:30991
C101449	HGNC:18145
C101452	HGNC:21118
C101455	HGNC:19034
C101458	HGNC:19035
C101463	HGNC:25292
C101466	HGNC:28843
C101469	HGNC:11531
C101472	HGNC:29006
C101475	HGNC:17052
C101478	HGNC:10700
C101481	HGNC:4507
C101484	HGNC:4504
C101487	HGNC:29914
C101491	HGNC:11280
C101494	HGNC:9249
C101497	HGNC:25966
C101500	HGNC:13539
C101503	HGNC:15831
C101506	HGNC:25463
C101543	HGNC:1232
C101546	HGNC:12440
C101549	HGNC:8547
C101552	HGNC:7533
C101555	HGNC:15449
C101559	HGNC:10810
C101562	HGNC:10886
C101565	HGNC:2745
C101568	HGNC:30661
C101571	HGNC:30660
C101574	HGNC:12632
C101577	HGNC:1603
C101580	HGNC:3818
C101583	HGNC:11700
C101586	HGNC:27962
C101590	HGNC:5120
C101593	HGNC:22953
C101599	HGNC:790
C101602	HGNC:10074
C101605	HGNC:11148
C101608	HGNC:30288
C101611	HGNC:25321
C101614	HGNC:28426
C101617	HGNC:13054
C101620	HGNC:30500
C101623	HGNC:7316
C101626	HGNC:21045
C101629	HGNC:4168
C101632	HGNC:31412
C101635	HGNC:8060
C101638	HGNC:11602
C101643	HGNC:8824
C101646	HGNC:5021
C101649	HGNC:4218
C101652	HGNC:15448
C101655	HGNC:10000
C101658	HGNC:26944
C101661	HGNC:25018
C101664	HGNC:31868
C101718	HGNC:5155
C101721	HGNC:3188
C101726	HGNC:9887
C101729	HGNC:18185
C101732	HGNC:4776
C101735	HGNC:464
C101738	HGNC:7962
C101741	HGNC:7963
C101744	HGNC:19245
C101747	HGNC:4498
C101750	HGNC:18788
C101753	HGNC:13733
C101756	HGNC:12403
C101759	HGNC:7156
C101762	HGNC:921
C101766	HGNC:30022
C101769	HGNC:11757
C101774	HGNC:16028
C101780	HGNC:682
C101783	HGNC:3155
C101797	HGNC:25829
C101800	HGNC:11748
C102427	HGNC:18116
C102437	HGNC:10494
C102440	HGNC:20153
C102444	HGNC:10588
C102447	HGNC:10585
C102452	HGNC:25387
C102455	HGNC:23319
C102458	HGNC:4586
C102461	HGNC:1664
C102464	HGNC:1630
C102471	HGNC:12856
C102474	HGNC:12744
C102477	HGNC:30871
C102480	HGNC:12565
C102483	HGNC:3711
C102486	HGNC:12336
C102489	HGNC:14067
C102492	HGNC:14065
C102495	HGNC:1775
C102498	HGNC:3165
C102501	HGNC:6349
C102504	HGNC:9753
