"Source Code","Source Name","Source Coding Scheme","Source Coding Scheme Version","Source Coding Scheme Namespace","Association","REL","Map Rank","Target Code","Target Name","Target Coding Scheme","Target Coding Scheme Version","Target Coding Scheme Namespace"
"C143031","A1CF Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:24086","A1CF","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C105922","A2M Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:7","A2M","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C190640","AAAS Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:13666","AAAS","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C185026","AAMP Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18","AAMP","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C200631","AARS1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:20","AARS1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C190305","AARS2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:21022","AARS2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191886","AASS Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:17366","AASS","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C92521","AATF Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:19235","AATF","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C118115","ABALON Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:49667","ABALON","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C116408","ABCA1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29","ABCA1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191811","ABCA12 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:14637","ABCA12","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C89022","ABCA2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:32","ABCA2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C189759","ABCA3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:33","ABCA3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C103876","ABCA5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:35","ABCA5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C162365","ABCA7 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:37","ABCA7","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C17966","ABCB1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:40","ABCB1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C123859","ABCB11 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:42","ABCB11","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C123862","ABCB4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:45","ABCB4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C73555","ABCB5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:46","ABCB5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C21264","ABCB6 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:47","ABCB6","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C18525","ABCC1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:51","ABCC1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C103882","ABCC2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:53","ABCC2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C106021","ABCC3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:54","ABCC3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C103879","ABCC4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:55","ABCC4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C103949","ABCC5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:56","ABCC5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C116946","ABCC6 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:57","ABCC6","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191883","ABCC8 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:59","ABCC8","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C142193","ABCD1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:61","ABCD1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191877","ABCD4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:68","ABCD4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C113327","ABCF2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:71","ABCF2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C113598","ABCG1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:73","ABCG1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C20808","ABCG2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:74","ABCG2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
