Source,Source Name,Source Code,Type,Rank,Target Name,Target Code,Target Terminology,Target Terminology Version
"NCI_Thesaurus","A1CF Gene","C143031","mapsTo","1","A1CF","HGNC:24086","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","A2M Gene","C105922","mapsTo","1","A2M","HGNC:7","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AAAS Gene","C190640","mapsTo","1","AAAS","HGNC:13666","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AAMP Gene","C185026","mapsTo","1","AAMP","HGNC:18","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AARS1 Gene","C200631","mapsTo","1","AARS1","HGNC:20","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AARS2 Gene","C190305","mapsTo","1","AARS2","HGNC:21022","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AASS Gene","C191886","mapsTo","1","AASS","HGNC:17366","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AATF Gene","C92521","mapsTo","1","AATF","HGNC:19235","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABALON Gene","C118115","mapsTo","1","ABALON","HGNC:49667","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA1 Gene","C116408","mapsTo","1","ABCA1","HGNC:29","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA12 Gene","C191811","mapsTo","1","ABCA12","HGNC:14637","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA2 Gene","C89022","mapsTo","1","ABCA2","HGNC:32","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA3 Gene","C189759","mapsTo","1","ABCA3","HGNC:33","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA5 Gene","C103876","mapsTo","1","ABCA5","HGNC:35","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCA7 Gene","C162365","mapsTo","1","ABCA7","HGNC:37","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCB1 Gene","C17966","mapsTo","1","ABCB1","HGNC:40","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCB11 Gene","C123859","mapsTo","1","ABCB11","HGNC:42","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCB4 Gene","C123862","mapsTo","1","ABCB4","HGNC:45","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCB5 Gene","C73555","mapsTo","1","ABCB5","HGNC:46","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCB6 Gene","C21264","mapsTo","1","ABCB6","HGNC:47","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC1 Gene","C18525","mapsTo","1","ABCC1","HGNC:51","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC2 Gene","C103882","mapsTo","1","ABCC2","HGNC:53","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC3 Gene","C106021","mapsTo","1","ABCC3","HGNC:54","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC4 Gene","C103879","mapsTo","1","ABCC4","HGNC:55","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC5 Gene","C103949","mapsTo","1","ABCC5","HGNC:56","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC6 Gene","C116946","mapsTo","1","ABCC6","HGNC:57","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCC8 Gene","C191883","mapsTo","1","ABCC8","HGNC:59","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCD1 Gene","C142193","mapsTo","1","ABCD1","HGNC:61","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCD4 Gene","C191877","mapsTo","1","ABCD4","HGNC:68","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCF2 Gene","C113327","mapsTo","1","ABCF2","HGNC:71","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCG1 Gene","C113598","mapsTo","1","ABCG1","HGNC:73","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABCG2 Gene","C20808","mapsTo","1","ABCG2","HGNC:74","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABHD12 Gene","C118545","mapsTo","1","ABHD12","HGNC:15868","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABI1 Gene","C24824","mapsTo","1","ABI1","HGNC:11320","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABI2 Gene","C21265","mapsTo","1","ABI2","HGNC:24011","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABL1 Gene","C17346","mapsTo","1","ABL1","HGNC:76","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABL2 Gene","C18451","mapsTo","1","ABL2","HGNC:77","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABO Gene","C118322","mapsTo","1","ABO","HGNC:79","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABRAXAS1 Gene","C101797","mapsTo","1","ABRAXAS1","HGNC:25829","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ABTB2 Gene","C90175","mapsTo","1","ABTB2","HGNC:23842","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACACA Gene","C103885","mapsTo","1","ACACA","HGNC:84","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACAD8 Gene","C191371","mapsTo","1","ACAD8","HGNC:87","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADL Gene","C190524","mapsTo","1","ACADL","HGNC:88","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADM Gene","C82873","mapsTo","1","ACADM","HGNC:89","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADS Gene","C82871","mapsTo","1","ACADS","HGNC:90","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADSB Gene","C190308","mapsTo","1","ACADSB","HGNC:91","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADVL Gene","C190528","mapsTo","1","ACADVL","HGNC:92","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACAT1 Gene","C190583","mapsTo","1","ACAT1","HGNC:93","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
